First program
error in finding:  FBgn0085746
error in finding:  FBgn0085751
error in finding:  FBgn0085748
error in finding:  FBgn0259849
error in finding:  FBgn0085494
error in finding:  FBgn0085828
error in finding:  FBgn0085744
error in finding:  FBgn0085756
error in finding:  FBgn0085752
error in finding:  FBgn0085755
error in finding:  FBgn0085805
error in finding:  FBgn0085757
error in finding:  FBgn0085506
error in finding:  FBgn0085816
error in finding:  FBgn0085758
error in finding:  FBgn0085759
error in finding:  FBgn0085760
error in finding:  FBgn0085799
error in finding:  FBgn0085826
error in finding:  FBgn0085764
error in finding:  FBgn0085761
error in finding:  FBgn0085825
error in finding:  FBgn0085766
error in finding:  FBgn0259870
error in finding:  FBgn0259817
error in finding:  FBgn0085768
error in finding:  FBgn0085511
error in finding:  FBgn0085772
error in finding:  FBgn0259864
error in finding:  FBgn0085817
error in finding:  FBgn0085827
error in finding:  FBgn0085773
error in finding:  FBgn0085822
error in finding:  FBgn0085803
error in finding:  FBgn0259837
error in finding:  FBgn0085795
error in finding:  FBgn0085808
error in finding:  FBgn0085692
error in finding:  FBgn0267595
error in finding:  FBgn0085540
error in finding:  FBgn0259842
error in finding:  FBgn0259839
error in finding:  FBgn0259840
error in finding:  FBgn0085777
error in finding:  FBgn0267596
error in finding:  FBgn0031208
error in finding:  FBgn0031208
error in finding:  FBgn0031208
52	2L	-	9839	18570	FBtr0078170	9	5248	FBgn0002121	l(2)gl	52.015907	78.173851
	P08111
53	2L	-	9839	18570	FBtr0078171	10	5391	FBgn0002121	l(2)gl	0.132570	0.199237
	P08111
54	2L	-	9839	21376	FBtr0078166	9	5155	FBgn0002121	l(2)gl	3.704314	5.567153
	P08111
55	2L	-	9839	21376	FBtr0078167	9	5230	FBgn0002121	l(2)gl	0.000000	0.000000
	P08111
56	2L	-	9839	21376	FBtr0078168	9	5225	FBgn0002121	l(2)gl	0.000000	0.000000
	P08111
57	2L	-	9839	21376	FBtr0078169	10	5082	FBgn0002121	l(2)gl	0.000000	0.000000
	P08111
58	2L	-	9839	21376	FBtr0306589	10	5315	FBgn0002121	l(2)gl	0.000000	0.000000
	P08111
59	2L	-	9839	21376	FBtr0306590	9	5179	FBgn0002121	l(2)gl	0.000000	0.000000
	P08111
60	2L	-	9839	21376	FBtr0306591	10	5390	FBgn0002121	l(2)gl	0.283763	0.426463
	P08111
61	2L	-	9839	21376	FBtr0306592	11	5528	FBgn0002121	l(2)gl	0.627299	0.942757
	P08111
62	2L	-	9839	21376	FBtr0330655	9	5281	FBgn0002121	l(2)gl	0.027748	0.041702
	P08111
63	2L	-	21823	25155	FBtr0113008	5	2629	FBgn0031209	Ir21a	0.000000	0.000000
	Q9VPI2
error in finding:  FBgn0263584
error in finding:  FBgn0051973
error in finding:  FBgn0051973
error in finding:  FBgn0051973
error in finding:  FBgn0051973
error in finding:  FBgn0051973
error in finding:  FBgn0051973
error in finding:  FBgn0051973
error in finding:  FBgn0051973
error in finding:  FBgn0266878
error in finding:  FBgn0266879
error in finding:  FBgn0067779
error in finding:  FBgn0067779
error in finding:  FBgn0067779
error in finding:  FBgn0067779
error in finding:  FBgn0067779
error in finding:  FBgn0266322
error in finding:  FBgn0266322
error in finding:  FBgn0031213
error in finding:  FBgn0031213
error in finding:  FBgn0031213
error in finding:  FBgn0031213
error in finding:  FBgn0031213
error in finding:  FBgn0031214
error in finding:  FBgn0002931
